class	baseRecords	overlayNames	core	utility	proc	duplicateNames	duplicateIDs	missingIDs	eternalRecords
Barbarian	55	0	21	7	24	0	0	0	0
Bloodmage	92	0	25	19	34	1	0	12	0
Chronomancer	61	0	21	10	29	0	0	0	0
Cultist	61	19	19	10	32	0	0	0	0
Felsworn	67	0	13	13	39	0	0	0	0
Guardian	59	0	15	13	30	0	0	0	0
KnightOfXoroth	83	0	25	13	29	0	0	16	0
Necromancer	81	0	22	15	30	4	5	7	0
Primalist	79	0	25	17	32	2	0	0	0
Pyromancer	63	0	21	8	32	0	0	0	0
Ranger	64	0	22	7	31	1	0	0	0
Reaper	54	0	14	7	30	0	0	0	0
Runemaster	83	0	23	10	50	1	0	18	0
Starcaller	78	0	32	12	33	0	0	0	0
Stormbringer	58	0	18	11	29	0	0	0	0
SunCleric	80	0	14	28	32	1	0	4	0
Templar	87	0	28	12	45	2	0	0	0
Tinker	65	0	27	3	32	0	0	0	0
Venomancer	70	0	25	9	32	3	0	0	0
WitchDoctor	87	0	39	10	33	1	0	4	0
WitchHunter	74	0	24	15	32	1	0	0	0
