display	parent	regionType	load	spellRefs	auraRefs	children
Bella's Templar PACK		group	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Missing Buffs","Templar CDs","Templar_Trinkets","Templar_Notifiers_Upper","Templar_Notifiers_Lower","Librams","Templar_General","Templar_Oathkeeper","Templar_Crusader_","Templar_Zealot"]
Missing Buffs		dynamicgroup	{"spec":{"multi":[]},"class":{"multi":[]},"size":{"multi":[]}}			["Divine_Stand","Divine_Stand_Remove","Personal_Buff"]
Divine_Stand		icon	{"knowntalent":705293,"talent2":[],"use_never":false,"talent":{"single":3,"multi":{"3":true}},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"use_class":true,"specialization":[],"spec":{"multi":[]},"size":{"multi":[]}}	false	807729,64859	[]
Divine_Stand_Remove		icon	{"spec_position":[],"ingroup":{"single":"group","multi":{"group":true,"raid":true,"solo":true}},"use_never":false,"talent":{"single":3,"multi":{"3":true}},"use_role":false,"class":{"single":"MONK","multi":[]},"use_knowntalent":false,"use_class":true,"raid_role":{"single":"NONE","multi":{"NONE":true}},"role":{"single":"melee","multi":{"melee":true,"caster":true}},"specialization":[],"use_groupSize":false,"spec":{"multi":[]},"talent2":[],"use_exact_knowntalent":false,"size":{"multi":[]}}	false	807729,64859	[]
Personal_Buff		icon	{"use_class":true,"talent2":[],"use_never":false,"talent":{"single":3,"multi":{"3":true}},"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	false	Gift of Zeal,Greater Gift of Zeal,Gift of Fervor,Greater Crusader's Oath,300886,Illidari Intuition,Etching of the Dextrous,Greater Inquisitor's Edict,Inquisitor's Edict,64859	[]
Templar CDs		dynamicgroup	{"spec":{"multi":[]},"class":{"multi":[]},"size":{"multi":[]}}			["_Testament of Fortitude","Divine_Charge_","Force_of_Golganneth","Testament_of_Strength","_Tome of Light","_Barrier of Light","_Eternal Blessing","Lights_Hope","_Glory","_Testament of Hope","Norgannon's_Wrath","_Testament of Faith","_Temple Guardian","_Absolution"]
_Testament of Fortitude		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	500678,true	500678	[]
Divine_Charge_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,527023	527023	[]
Force_of_Golganneth		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	500694,true	500694	[]
Testament_of_Strength		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	300514,true	300514	[]
_Tome of Light		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,805422	807156	[]
_Barrier of Light		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,805417		[]
_Eternal Blessing		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	705300,true	705300	[]
Lights_Hope		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,807814	807814	[]
_Glory		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,801481	801481	[]
_Testament of Hope		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,1397742	704409	[]
Norgannon's_Wrath		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	524739,true	524739	[]
_Testament of Faith		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801478,true		[]
_Temple Guardian		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801165,true		[]
_Absolution		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,680953		[]
Templar_Trinkets		dynamicgroup	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Templar- trinket - slot 13","Templar - trinket - slot 14"]
Templar- trinket - slot 13		icon	{"use_class":true,"use_itemequiped":false,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":{"DEATHKNIGHT":true,"PALADIN":true,"SHAMAN":true}},"itemequiped":[50349],"size":{"multi":[]}}			[]
Templar - trinket - slot 14		icon	{"use_class":true,"use_itemequiped":false,"use_never":false,"talent":{"multi":[]},"spec":{"multi":[]},"class":{"single":"MONK","multi":{"DEATHKNIGHT":true,"PALADIN":true,"SHAMAN":true}},"itemequiped":[50349],"size":{"multi":[]}}			[]
Templar_Notifiers_Upper		dynamicgroup	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Parry_Dance","Tempest_Aura_","Warrior_of_Dawn","Legacy_of_the_Silver_Hand_","Scarlet_Secrets_","Light_Keeper","Duty_Calls","Benediction_Armor_Buff","Light's_Guidance","Mending_Ward","Might_of_Aggramar","Blessing_of_Eonar_","Righteous Lunge_Oath_Buff_","Righteous Lunge_Oath_Buff","Holy Cleave_Oath_Buff","Condemn_Oath_Buff","Staffguard_Buff","Scarlet_Champion","Divine_Strikes_","Scarlet_Srusader_","Iron_Penance_","Unbroken_Creed","Heaven's_Finest","Sacred Resistance_Armor_Buff","Tome_of_Light_Tranquil_Circle","Tome_of_Light_Nimble_Movements","Tome_of_Light_Barrier_of_Light","Determined_","Sanc
Parry_Dance		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		560651	[]
Tempest_Aura_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		807274	[]
Warrior_of_Dawn		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		560648	[]
Legacy_of_the_Silver_Hand_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		806522	[]
Scarlet_Secrets_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		520812	[]
Light_Keeper		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		561016	[]
Duty_Calls		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		560834	[]
Benediction_Armor_Buff		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		801409	[]
Light's_Guidance		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		524765	[]
Mending_Ward		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		806273	[]
Might_of_Aggramar		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		803163	[]
Blessing_of_Eonar_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		705290	[]
Righteous Lunge_Oath_Buff_		icon	{"knowntalent":801446,"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}		805332	[]
Righteous Lunge_Oath_Buff		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		804904	[]
Holy Cleave_Oath_Buff		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		804903	[]
Condemn_Oath_Buff		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		804922	[]
Staffguard_Buff		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		706583	[]
Scarlet_Champion		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		805415	[]
Divine_Strikes_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		705255	[]
Scarlet_Srusader_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		301172	[]
Iron_Penance_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		523712	[]
Unbroken_Creed		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	true,807648	807648	[]
Heaven's_Finest		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		806516	[]
Sacred Resistance_Armor_Buff		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		680870	[]
Tome_of_Light_Tranquil_Circle		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		807004	[]
Tome_of_Light_Nimble_Movements		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		806934	[]
Tome_of_Light_Barrier_of_Light		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		806354	[]
Determined_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		705256	[]
Sanctify_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}		705274	[]
Blinding_Scripture_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		801457	[]
Sacred_Restraint_Notifier_		icon	{"use_class":true,"ingroup":[],"use_never":false,"talent":{"single":58,"multi":{"58":true}},"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}		102208	[]
Templar_Notifiers_Lower		dynamicgroup	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Flask_Notifier_","Food_Notifier_","Templar_Beckon_","Racials_Notifier_","Tithe_","Divine_Force_","Interdict_","Tranquil_Circle_","Testament_of_Will","Testament_of_Resolve","Crusader's_Brand","Absolution_","Spiritual_Ascension","Benediction_CD","Crusader's Presence_"]
Flask_Notifier_		icon	{"ingroup":{"multi":{"raid":true}},"use_never":false,"talent":{"multi":[]},"level_operator":["=="],"use_class":true,"use_ingroup":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"level":["80"],"use_level":false,"size":{"multi":[]}}		17626,17634,17636,17638,17637,Flask of Stoneblood,Flask of Endless Rage,Lesser Flask of Resistance,Flask of the North,Distilled Wisdom	[]
Food_Notifier_		icon	{"ingroup":{"multi":{"raid":true}},"use_never":false,"talent":{"multi":[]},"level_operator":["=="],"use_class":true,"use_ingroup":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"level":["80"],"use_combat":false,"use_level":false,"size":{"multi":[]}}		Well Fed	[]
Templar_Beckon_		icon	{"use_class":true,"use_never":false,"talent":{"multi":{"83":true}},"use_talent":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	Hand of Reckoning,true,804914		[]
Racials_Notifier_		icon	{"use_class":true,"use_never":false,"talent":{"single":70,"multi":{"24":true,"70":true}},"spec":{"multi":[]},"class":{"single":"MONK","multi":{"DEATHKNIGHT":true}},"size":{"multi":[]}}	true,65116,59752,Every Man for Himself,Stoneform,20594,Gift of the Naaru,59545,Arcane Torrent,50613	65116,59752	[]
Tithe_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	804781,true		[]
Divine_Force_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,806153		[]
Interdict_		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	560116,true		[]
Tranquil_Circle_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801205,true		[]
Testament_of_Will		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	801455,true	801455	[]
Testament_of_Resolve		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,804228	804228	[]
Crusader's_Brand		icon	{"use_class":true,"use_never":false,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"size":{"multi":[]}}	300513,true	300513	[]
Absolution_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	800424,true		[]
Spiritual_Ascension		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,500757		[]
Benediction_CD		icon	{"knowntalent":805409,"role":[],"use_never":false,"use_class":true,"spec":{"multi":[]},"class":{"single":"MONK","multi":[]},"use_knowntalent":true,"size":{"multi":[]}}	578276,true		[]
Crusader's Presence_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	562302,true	562302	[]
Librams		dynamicgroup	{"size":{"multi":[]},"spec":{"multi":[]},"class":{"multi":[]},"talent":{"multi":[]}}			["Libram of Consecration_","Libram of Fervor_","Libram of Tenacity_","Libram of Grace_","Libram of Zeal_"]
Libram of Consecration_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801441,true	801441	[]
Libram of Fervor_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	true,805423	805423	[]
Libram of Tenacity_		icon	{"use_class":true,"use_never":false,"class":{"single":"MONK","multi":[]},"spec":{"multi":[]},"size":{"multi":[]}}	801461,true	801461	[]
