status	id	kind	display	parent	regionType	namePresent
load-only	805409	knowntalent	Argent_Blade		icon	true
load-only	705293	knowntalent	Benediction_		icon	true
load-only	805409	knowntalent	Benediction_CD		icon	true
load-only	805409	knowntalent	Blade_of_faith_spell		icon	true
load-only	801446	knowntalent	Blade_of_faith_spell_		icon	true
load-only	705293	knowntalent	Chastise_		icon	true
load-only	805409	knowntalent	Chastise__		icon	true
load-only	801446	knowntalent	Chastise___		icon	true
load-only	705293	knowntalent	Divine_Stand		icon	false
load-only	705293	knowntalent	Reckoning_		icon	true
load-only	801446	knowntalent	Righteous Lunge_Oath_Buff_		icon	true
load-only	805409	knowntalent	Righteous_Tempest_		icon	true
load-only	801446	knowntalent	Righteous_Upheaval_		icon	true
load-only	705293	knowntalent	Sacred_Swing		icon	true
load-only	705293	knowntalent	Stagger_		aurabar	false
load-only	705293	knowntalent	Titan_Strike		icon	true
load-only	805409	knowntalent	Titan_Strike_		icon	true
load-only	801446	knowntalent	Titan_Strike__		icon	true
load-only	801446	knowntalent	Vindication_		icon	false
missing-id	807268	spell	Argent_Blade		icon	true
missing-id	803373	spell	Benediction_		icon	true
missing-id	803375	spell	Benediction_		icon	true
missing-id	563269	spell	Chastise___		icon	true
missing-id	563269	aura	Chastise___		icon	true
missing-id	563270	spell	Chastise___		icon	true
missing-id	64859	aura	Divine_Stand		icon	false
missing-id	807729	aura	Divine_Stand		icon	false
missing-id	64859	aura	Divine_Stand_Remove		icon	false
missing-id	807729	aura	Divine_Stand_Remove		icon	false
missing-id	17626	aura	Flask_Notifier_		icon	false
missing-id	17634	aura	Flask_Notifier_		icon	false
missing-id	17636	aura	Flask_Notifier_		icon	false
missing-id	17637	aura	Flask_Notifier_		icon	false
missing-id	17638	aura	Flask_Notifier_		icon	false
missing-id	64859	aura	Personal_Buff		icon	false
missing-id	300886	aura	Personal_Buff		icon	false
missing-id	20594	spell	Racials_Notifier_		icon	false
missing-id	50613	spell	Racials_Notifier_		icon	false
missing-id	59545	spell	Racials_Notifier_		icon	false
missing-id	59752	spell	Racials_Notifier_		icon	false
missing-id	59752	aura	Racials_Notifier_		icon	false
missing-id	65116	spell	Racials_Notifier_		icon	false
missing-id	65116	aura	Racials_Notifier_		icon	false
missing-id	803237	spell	Stagger_		aurabar	false
missing-id	803237	aura	Stagger_		aurabar	false
missing-id	801446	spell	Vindication_		icon	false
present	680953	spell	_Absolution		icon	true
present	805417	spell	_Barrier of Light		icon	true
present	705300	spell	_Eternal Blessing		icon	true
present	705300	aura	_Eternal Blessing		icon	true
present	801481	spell	_Glory		icon	true
present	801481	aura	_Glory		icon	true
present	801165	spell	_Temple Guardian		icon	true
present	801478	spell	_Testament of Faith		icon	true
present	500678	spell	_Testament of Fortitude		icon	true
present	500678	aura	_Testament of Fortitude		icon	true
present	704409	aura	_Testament of Hope		icon	true
present	1397742	spell	_Testament of Hope		icon	true
present	805422	spell	_Tome of Light		icon	true
present	807156	aura	_Tome of Light		icon	true
present	800424	spell	Absolution_		icon	true
present	801409	aura	Benediction_Armor_Buff		icon	true
present	578276	spell	Benediction_CD		icon	true
present	803880	spell	Blade_of_faith_spell		icon	true
present	803880	spell	Blade_of_faith_spell_		icon	true
present	705290	aura	Blessing_of_Eonar_		icon	true
present	801457	aura	Blinding_Scripture_		icon	false
present	503135	spell	Chastise_		icon	true
