display	parent	regionType	load	spellRefs	auraRefs	children
Chronomancer heal group		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Chronomancer Glow","Chronomancer Heal","Chronomancer Heal Cooldowns ","Chronomancer Selfbuffs"]
Chronomancer Glow		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Glow","Glow 2","Glow 3","Glow 4","Glow 5"]
Glow		empty	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	true,804488,806290,806291,806292,806293	804488,806290,806291,806292,806293	[]
Glow 2		empty	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	true,804488,806290	804488,806290	[]
Glow 3		empty	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	true,804488,806291	804488,806291	[]
Glow 4		empty	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	true,804488,806292	804488,806292	[]
Glow 5		empty	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	true,804488,806293	804488,806293	[]
Chronomancer Heal		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Sands of Time","Mana"]
Sands of Time		aurabar	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,804488,false	804488,806290,Aeon of Resilience,806292,806293	[]
Mana		aurabar	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"groupSize_operator":[">"],"use_spellknown":true,"use_knowntalent":false,"use_groupSize":false}	706774,true	706774	[]
Chronomancer Heal Cooldowns 		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Fabric Time Aura","Fortify Timeline","Ripple","Hasten","Timeguard","Endless Sands"]
Fabric Time Aura		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,570177,704482	704482	[]
Fortify Timeline		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,807455		[]
Ripple		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,806296,false	Ripple	[]
Hasten		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,801304	801304	[]
Timeguard		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,804441	Timeguard	[]
Endless Sands		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,806728	806728	[]
Chronomancer Selfbuffs		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Time Out!"]
Time Out!		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CHRONOMANCER"},"spellknown":806296,"use_exact_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false}	true,803897	803897	[]
