display	parent	regionType	load	spellRefs	auraRefs	children
Bella's Bloodmage PACK		group	{"talent":{"multi":[]},"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Missing_Buffs","Bloodmage_CDs","Bloodmage_Trinkets","Bloodmage_Notifiers_Upper","Bloodmage_Notifiers_Lower","Howl_Spells","Bloodmage_General","Bloodmage_Eternal","Bloodmage_Fleshweaver","Bloodmage_Sanguine","Bloodmage_Accursed"]
Missing_Buffs		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Blood_Shield","Eternal_Curse","Sanguine_Essence","Bloodthorns","Sanguinary_Offering"]
Blood_Shield		icon	{"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"SONOFARUGAL"},"talent":{"multi":{"3":true},"single":3},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_never":false,"talent2":[]}	false	504296,Vital Shield,Coagulated Shield,64859	[]
Eternal_Curse		icon	{"knowntalent":804197,"specialization":[],"size":{"multi":[]},"use_never":false,"use_knowntalent":true,"class":{"multi":[],"single":"SONOFARUGAL"},"ingroup":{"multi":{"solo":true,"raid":true,"group":true},"single":"group"},"use_groupSize":false,"use_exact_knowntalent":false,"spec":{"multi":[]},"spec_position":[],"role":{"multi":{"caster":true,"melee":true},"single":"melee"},"use_class":true,"talent":{"multi":{"3":true},"single":3},"raid_role":{"multi":{"NONE":true},"single":"NONE"},"talent2":[]}	false	800157,64859	[]
Sanguine_Essence		icon	{"knowntalent":505188,"specialization":[],"size":{"multi":[]},"use_never":false,"use_knowntalent":true,"class":{"multi":[],"single":"SONOFARUGAL"},"ingroup":{"multi":{"solo":true,"raid":true,"group":true},"single":"group"},"use_groupSize":false,"use_exact_knowntalent":false,"spec":{"multi":[]},"spec_position":[],"role":{"multi":{"caster":true,"melee":true},"single":"melee"},"use_class":true,"talent":{"multi":{"3":true},"single":3},"raid_role":{"multi":{"NONE":true},"single":"NONE"},"talent2":[]}	false	680692,64859	[]
Bloodthorns		icon	{"use_never":false,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"talent":{"multi":{"3":true},"single":3},"talent2":[]}	false	501662,501961,572116,572214,64859	[]
Sanguinary_Offering		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"talent":{"multi":{"3":true},"single":3},"talent2":[]}	false	706630,573295,803668,Rite of Resolve,680299,572403,572404,1108493,64859	[]
Bloodmage_CDs		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Blood_Pact","Fleshcraft","Fleshcraft 2","Eternal_Resolve","Monstrous Hunger","Blood_Veil","Blood_Veil 2","Apotheosis","Transgression_","Accursed_Form_","Bloodsurge","Endure_the_curse","Hemoburst","Final_Embrace","Wicked_Howl_","Infuse","Hemoglobe","Gorge","Darkfallen_Lament","Arteria_Bind","Vampyr_Kiss","Purify_Blood","_Malediction","Atherann's__Anguish","Blood__Craving","Sacrificial__Rite"]
Blood_Pact		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,801955	801955	[]
Fleshcraft		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,801952	801952	[]
Fleshcraft 2		icon	{"knowntalent":505188,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,801952	801952	[]
Eternal_Resolve		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,801962	801962	[]
Monstrous Hunger		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,804811	804811	[]
Blood_Veil		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,504263	504263	[]
Blood_Veil 2		icon	{"knowntalent":505188,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,504263	504263	[]
Apotheosis		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":true}	true,804203	804203	[]
Transgression_		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,504728	504728	[]
Accursed_Form_		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,504710	504710	[]
Bloodsurge		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,553267	553267	[]
Endure_the_curse		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,681190	681190	[]
Hemoburst		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,572855	681190	[]
Final_Embrace		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,524865	524865	[]
Wicked_Howl_		icon	{"knowntalent":804197,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"class":{"multi":[],"single":"SONOFARUGAL"},"use_class":true,"use_knowntalent":false}	true,804207	804207	[]
Infuse		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,681403	681403	[]
Hemoglobe		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,524907	524907	[]
Gorge		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,804805	804805	[]
Darkfallen_Lament		icon	{"spec":{"multi":[]},"use_class":true,"class":{"multi":[],"single":"SONOFARUGAL"},"use_never":false,"size":{"multi":[]}}	true,680828	680828	[]
