status	id	kind	display	parent	regionType	namePresent
load-only	804197	knowntalent	Accursed_Form_		icon	true
load-only	804197	knowntalent	Apetheosis		icon	false
load-only	804197	knowntalent	Apotheosis		icon	true
load-only	504728	knowntalent	Apotheosis_Fleshweaver 3		icon	false
load-only	504728	knowntalent	Blood_bolt__		icon	false
load-only	804197	knowntalent	Blood_Fang_Bite		icon	false
load-only	804197	knowntalent	Blood_Pact		icon	true
load-only	804197	knowntalent	Blood_Shield_Buff		icon	false
load-only	804197	knowntalent	Blood_Veil		icon	true
load-only	504728	knowntalent	Blood_Veil_		icon	true
load-only	804197	knowntalent	Bloodbolt_		icon	false
load-only	804197	knowntalent	Bloodfang Bite		icon	true
load-only	804197	knowntalent	Bloodmage_Offerings		icon	false
load-only	504728	knowntalent	Bloodmoon_Blast_		icon	false
load-only	804197	knowntalent	Bloodsurge		icon	true
load-only	804197	knowntalent	Bloodthorns_		icon	false
load-only	804197	knowntalent	Claw_Sweep_		icon	false
load-only	804197	knowntalent	Endure_the_curse		icon	true
load-only	801446	knowntalent	Essence_Harvester		icon	false
load-only	804197	knowntalent	Eternal_Curse		icon	true
load-only	804197	knowntalent	Final_Embrace		icon	true
load-only	804197	knowntalent	Fleshcraft		icon	true
load-only	504728	knowntalent	Fleshcraft__2		icon	true
load-only	804197	knowntalent	Hemoburst		icon	true
load-only	504728	knowntalent	Insatiable		icon	false
load-only	504728	knowntalent	Keleseth's_Calamity		icon	false
load-only	804197	knowntalent	Malediction		icon	true
load-only	804197	knowntalent	Night_Hunter's Howl_		icon	false
load-only	804197	knowntalent	Ravenous_Strike		icon	false
load-only	804197	knowntalent	Rotclaw_		icon	true
load-only	804197	knowntalent	Rotclaw_Stacks		icon	false
load-only	504728	knowntalent	Sanguine_Rupture_		icon	false
load-only	504728	knowntalent	Taldaram_Torment 2		icon	false
load-only	504728	knowntalent	Thirst		icon	true
load-only	504728	knowntalent	Thirst_1		aurabar	true
load-only	504728	knowntalent	Thirst_10		aurabar	true
load-only	504728	knowntalent	Thirst_2		aurabar	true
load-only	504728	knowntalent	Thirst_3		aurabar	true
load-only	504728	knowntalent	Thirst_4		aurabar	true
load-only	504728	knowntalent	Thirst_5		aurabar	true
load-only	504728	knowntalent	Thirst_6		aurabar	true
load-only	504728	knowntalent	Thirst_7		aurabar	true
load-only	504728	knowntalent	Thirst_8		aurabar	true
load-only	504728	knowntalent	Thirst_9		aurabar	true
load-only	804197	knowntalent	Transgression_		icon	false
load-only	504728	knowntalent	Valanar's_Vengeance		icon	false
load-only	504728	knowntalent	Vampiric_Fang		icon	true
load-only	804197	knowntalent	Wicked_Howl_		icon	true
missing-id	500444	spell	_Bloodmoon_Blast		icon	false
missing-id	800776	spell	_Malediction		icon	true
missing-id	562572	aura	Accursed_Form		icon	true
missing-id	573356	spell	Animated_Blood		icon	true
missing-id	573356	aura	Animated_Blood		icon	true
missing-id	563270	spell	Aortic_Assault		icon	true
missing-id	681514	spell	Aortic_Assault		icon	true
missing-id	681514	aura	Aortic_Assault		icon	true
missing-id	681077	spell	Arteria_Bind		icon	false
missing-id	681077	aura	Arteria_Bind		icon	false
missing-id	572279	aura	Blood__Veil		icon	true
missing-id	578305	spell	Blood_bolt_		icon	false
missing-id	680687	spell	Blood_bolt_		icon	false
missing-id	680687	aura	Blood_bolt_		icon	false
missing-id	578305	spell	Blood_bolt__		icon	false
missing-id	578305	spell	Blood_bolt__ 2		icon	false
missing-id	504627	spell	Blood_bond		icon	true
missing-id	1200012	spell	Blood_Covenant		icon	false
missing-id	704120	aura	Blood_Fang_Bite		icon	false
missing-id	706654	spell	Blood_Fang_Bite		icon	false
missing-id	706654	aura	Blood_Fang_Bite		icon	false
missing-id	706623	aura	Blood_Rituals		icon	false
missing-id	560254	aura	Blood_Rush		icon	true
missing-id	64859	aura	Blood_Shield		icon	false
missing-id	504296	aura	Blood_Shield		icon	false
missing-id	504263	spell	Blood_Veil		icon	true
missing-id	504263	aura	Blood_Veil		icon	true
missing-id	504263	spell	Blood_Veil 2		icon	true
missing-id	504263	aura	Blood_Veil 2		icon	true
missing-id	504263	spell	Blood_Veil_		icon	true
missing-id	504263	aura	Blood_Veil_		icon	true
missing-id	504263	spell	Blood_Veil_ 2		icon	true
missing-id	504263	aura	Blood_Veil_ 2		icon	true
missing-id	804685	spell	Bloodbolt_		icon	false
missing-id	501695	spell	Bloodfang Bite		icon	true
missing-id	704576	aura	Bloodmage_Health		aurabar	false
missing-id	572403	aura	Bloodmage_Offerings		icon	false
missing-id	572404	aura	Bloodmage_Offerings		icon	false
missing-id	680299	aura	Bloodmage_Offerings		icon	false
missing-id	1108493	aura	Bloodmage_Offerings		icon	false
missing-id	501614	spell	Bloodmoon_Blast		icon	false
missing-id	501614	spell	Bloodmoon_Blast_		icon	false
missing-id	681514	spell	Bloodpale		icon	false
missing-id	681514	aura	Bloodpale		icon	false
missing-id	64859	aura	Bloodthorns		icon	false
missing-id	501662	aura	Bloodthorns		icon	false
missing-id	501961	aura	Bloodthorns		icon	false
missing-id	572116	aura	Bloodthorns		icon	false
missing-id	572214	aura	Bloodthorns		icon	false
missing-id	572116	aura	Bloodthorns_		icon	false
missing-id	572214	aura	Bloodthorns_		icon	false
missing-id	500169	spell	Claw_Sweep_		icon	false
missing-id	680732	aura	Dark_Essence		icon	false
missing-id	680687	spell	Dark_Liturgy		icon	false
missing-id	680687	aura	Dark_Liturgy		icon	false
missing-id	800781	spell	Dark_Liturgy		icon	false
missing-id	504264	spell	Darkcasting		icon	true
missing-id	504264	aura	Darkcasting		icon	true
missing-id	712383	aura	Darkcasting		icon	true
missing-id	806421	aura	Essence_Harvester		icon	false
missing-id	64859	aura	Eternal_Curse		icon	true
missing-id	17626	aura	Flask_Notifier_ 3		icon	false
missing-id	17634	aura	Flask_Notifier_ 3		icon	false
missing-id	17636	aura	Flask_Notifier_ 3		icon	false
missing-id	17637	aura	Flask_Notifier_ 3		icon	false
missing-id	17638	aura	Flask_Notifier_ 3		icon	false
missing-id	807788	aura	Gore_Tome		icon	false
missing-id	807563	aura	Heartbreak		icon	false
missing-id	803681	spell	Hemal_Excision		icon	true
missing-id	803681	aura	Hemal_Excision		icon	true
missing-id	681304	spell	Hemostasis		icon	true
missing-id	681304	aura	Hemostasis		icon	true
missing-id	572305	aura	Hypovolemic_Shock		icon	false
missing-id	706663	spell	Insatiable		icon	false
missing-id	706663	aura	Insatiable		icon	false
missing-id	560249	spell	Keleseth's_Calamity		icon	false
missing-id	706613	spell	Keleseth's_Calamity		icon	false
missing-id	706613	aura	Keleseth's_Calamity		icon	false
missing-id	504264	spell	Killer_Instinct		icon	true
missing-id	504264	aura	Killer_Instinct		icon	true
missing-id	806310	spell	Liquify		icon	true
missing-id	806310	aura	Liquify		icon	true
missing-id	704120	spell	Malediction		icon	true
missing-id	704120	aura	Malediction		icon	true
missing-id	704120	aura	Malediction_Stacks		icon	false
missing-id	572895	spell	Night_Hunter's Howl_		icon	false
missing-id	680687	spell	Night_Hunter's Howl_		icon	false
missing-id	680687	aura	Night_Hunter's Howl_		icon	false
missing-id	504290	aura	Packleader_		icon	false
missing-id	680687	spell	Pooled_Vitality_1		aurabar	true
missing-id	680687	aura	Pooled_Vitality_1		aurabar	true
missing-id	680687	spell	Pooled_Vitality_10		aurabar	true
missing-id	680687	aura	Pooled_Vitality_10		aurabar	true
missing-id	680687	spell	Pooled_Vitality_2		aurabar	true
missing-id	680687	aura	Pooled_Vitality_2		aurabar	true
missing-id	680687	spell	Pooled_Vitality_3		aurabar	true
missing-id	680687	aura	Pooled_Vitality_3		aurabar	true
missing-id	680687	spell	Pooled_Vitality_4		aurabar	true
missing-id	680687	aura	Pooled_Vitality_4		aurabar	true
missing-id	680687	spell	Pooled_Vitality_5		aurabar	true
missing-id	680687	aura	Pooled_Vitality_5		aurabar	true
missing-id	680687	spell	Pooled_Vitality_6		aurabar	true
missing-id	680687	aura	Pooled_Vitality_6		aurabar	true
missing-id	680687	spell	Pooled_Vitality_7		aurabar	true
missing-id	680687	aura	Pooled_Vitality_7		aurabar	true
missing-id	680687	spell	Pooled_Vitality_8		aurabar	true
missing-id	680687	aura	Pooled_Vitality_8		aurabar	true
missing-id	680687	spell	Pooled_Vitality_9		aurabar	true
missing-id	680687	aura	Pooled_Vitality_9		aurabar	true
missing-id	20594	spell	Racials_Notifier_ 3		icon	false
missing-id	50613	spell	Racials_Notifier_ 3		icon	false
missing-id	59545	spell	Racials_Notifier_ 3		icon	false
missing-id	59752	spell	Racials_Notifier_ 3		icon	false
missing-id	59752	aura	Racials_Notifier_ 3		icon	false
missing-id	65116	spell	Racials_Notifier_ 3		icon	false
missing-id	65116	aura	Racials_Notifier_ 3		icon	false
missing-id	501671	spell	Ravenous_Strike		icon	false
missing-id	572551	spell	Ravenous_Strike_		icon	false
missing-id	800490	spell	Reave		icon	true
missing-id	804197	spell	Rotclaw_		icon	true
missing-id	503477	spell	Rotclaw_Stacks		icon	false
missing-id	503477	aura	Rotclaw_Stacks		icon	false
missing-id	804197	aura	Rotclaw_Stacks		icon	false
missing-id	64859	aura	Sanguinary_Offering		icon	false
missing-id	572403	aura	Sanguinary_Offering		icon	false
missing-id	572404	aura	Sanguinary_Offering		icon	false
missing-id	573295	aura	Sanguinary_Offering		icon	false
missing-id	680299	aura	Sanguinary_Offering		icon	false
missing-id	706630	aura	Sanguinary_Offering		icon	false
missing-id	803668	aura	Sanguinary_Offering		icon	false
missing-id	1108493	aura	Sanguinary_Offering		icon	false
missing-id	64859	aura	Sanguine_Essence		icon	true
missing-id	680692	aura	Sanguine_Essence		icon	true
missing-id	504085	spell	Sanguine_Mend		icon	false
missing-id	680687	spell	Sanguine_Mend		icon	false
missing-id	680687	aura	Sanguine_Mend		icon	false
