display	parent	regionType	load	spellRefs	auraRefs	children
Nëw's Pyro Heal  UI		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Sageweaving text","Up left","Buff","Spells aura","Buff track","Down spells","Core Spells","Hunter - No Pet","Ressources bar"]
Sageweaving text		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Sageweaving text s2","Sageweaving text s1"]
Sageweaving text s2		progresstexture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}		806783	[]
Sageweaving text s1		progresstexture	{"knowntalent":800796,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_class":true,"use_knowntalent":true}		806783	[]
Up left		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Volcanic Shell","Firestorm","Circle of Fire","Skin Tracks","Blaze fw"]
Volcanic Shell		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":807622}	true,807622	807621	[]
Firestorm		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":802791}	true,802791		[]
Circle of Fire		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":997003}	true,997003		[]
Skin Tracks		icon	{"knowntalent":801401,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":{"STARCALLER":true},"single":"PYROMANCER"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":false,"use_never":false,"spellknown":801401}		504707,504720,681314,680387	[]
Blaze fw		icon	{"knowntalent":800796,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"PYROMANCER"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"use_never":false,"spellknown":572160}	572159,false,true	534601,572159	[]
