display	parent	regionType	load	spellRefs	auraRefs	children
Perp's Tinker		group	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Tinker Mana","Tinker Pet Mana","Tinker Buff Bar","Tinker Main Bar","Tinker Supp Bar","Tinker Reminders"]
Tinker Mana		aurabar	{"use_class":true,"class":{"multi":[],"single":"TINKER"},"size":{"multi":[]},"spec":{"multi":[]}}			[]
Tinker Pet Mana		aurabar	{"use_class":true,"class":{"multi":[],"single":"TINKER"},"size":{"multi":[]},"spec":{"multi":[]}}			[]
Tinker Buff Bar		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Eureka!","Nanobot Recharger Buff","Nanobot Reconstruction Buff","Nanobot Swarm Buff"]
Eureka!		icon	{"knowntalent":503552,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":501780}	true,503553	503553	[]
Nanobot Recharger Buff		icon	{"knowntalent":503552,"size":{"multi":[]},"class":{"multi":[],"single":"TINKER"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"spellknown":803552,"use_mounted":false}	803552,true	803552	[]
Nanobot Reconstruction Buff		icon	{"knowntalent":503552,"size":{"multi":[]},"class":{"multi":[],"single":"TINKER"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"spellknown":502561,"use_mounted":false}	502561,true	502561	[]
Nanobot Swarm Buff		icon	{"knowntalent":801709,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":502561}	801709,true	801709	[]
Tinker Main Bar		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Med Pack","Zap!","Kinetic Shield","My Greatest Invention!","Recharge Station","Overcharge","Resto Beacon"]
Med Pack		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":800347}	true,800347		[]
Zap!		icon	{"knowntalent":680196,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":680196}	true,680196		[]
Kinetic Shield		icon	{"knowntalent":806224,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":680196}	true,806224		[]
My Greatest Invention!		icon	{"knowntalent":805305,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":680196}	true,805305		[]
Recharge Station		icon	{"knowntalent":805308,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":807197}	true,805308		[]
Overcharge		icon	{"knowntalent":524835,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":524835}	true,524835,Build: Shield Beacon,Build: Replenishment Beacon,Build: Restorative Beacon		[]
Resto Beacon		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":801801}	true,801801		[]
Tinker Supp Bar		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["[Tinker] Berserking","[Tinker] Will of the Forsaken ","[Tinker] Blood Fury","[Tinker] Escape Artist","[Tinker] Stoneform ","[Tinker] Arcane Torrent","[Tinker] War Stomp","[Tinker] Pet Recharge","[Tinker] Pet Disarm","[Tinker] Pet Bomb","[Tinker] Pet Interrupt","[Tinker] Pet Mana","Air Strike","Deathball","Auto Resuscitation Device","Discombobulate!","Freeze Ray","Macro-Gravity Zone","Repulsion Unit","Noise Box","Rocket Boots"]
[Tinker] Berserking		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":26297}	true,26297		[]
[Tinker] Will of the Forsaken 		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":7744}	true,7744		[]
[Tinker] Blood Fury		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":33697}	true,33697		[]
[Tinker] Escape Artist		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":20589}	true,20589		[]
[Tinker] Stoneform 		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":20594}	true,20594		[]
[Tinker] Arcane Torrent		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":814287}	true,814287		[]
[Tinker] War Stomp		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":20549}	true,20549		[]
[Tinker] Pet Recharge		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":808010}	true,808010		[]
[Tinker] Pet Disarm		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":578123}	true,578123		[]
[Tinker] Pet Bomb		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":578124}	true,578124		[]
[Tinker] Pet Interrupt		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":581313}	true,581313		[]
[Tinker] Pet Mana		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":578122}	true,578122		[]
Air Strike		icon	{"knowntalent":801744,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":706969}	true,801744		[]
Deathball		icon	{"knowntalent":500236,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":706969}	true,500236		[]
Auto Resuscitation Device		icon	{"knowntalent":520445,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":706969}	true,520445		[]
Discombobulate!		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":807197}	true,807197		[]
Freeze Ray		icon	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":806157}	true,806157		[]
Macro-Gravity Zone		icon	{"knowntalent":707104,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":707104}	true,707104		[]
Repulsion Unit		icon	{"knowntalent":706904,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":706904}	true,706904		[]
Noise Box		icon	{"knowntalent":807723,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":807197}	true,807723		[]
Rocket Boots		icon	{"knowntalent":500241,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"TINKER"},"use_class":true,"spellknown":706969}	true,500241		[]
Tinker Reminders		dynamicgroup	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}			["Augmentation Reminder","Pet Reminder","[Tinker] Group Buff Reminder"]
Augmentation Reminder		icon	{"spec":{"multi":[]},"use_class":true,"use_combat":true,"use_never":false,"class":{"multi":[],"single":"TINKER"},"use_mounted":false,"size":{"multi":[]}}			[]
Pet Reminder		icon	{"spec":{"multi":[]},"use_class":true,"use_combat":true,"use_never":false,"class":{"multi":[],"single":"TINKER"},"use_mounted":false,"size":{"multi":[]}}	true		[]
[Tinker] Group Buff Reminder		icon	{"use_never":false,"spec":{"multi":[]},"size":{"multi":[]},"use_combat":true,"use_mounted":false,"class":{"multi":[],"single":"TINKER"},"ingroup":{"multi":[],"single":"group"},"use_class":true}			[]
