path	id	parent	regionType	x	y	load	controlledChildren	triggers
$.c.0	Dreadnought Aura		progresstexture	-75.938425039165	196.53437084122	{"spec":{"multi":[]},"size":{"multi":[]},"role":{"multi":{"tank":true},"single":"tank"},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":567549}	[]	
$.c.1	Herald of the Depths Aura		progresstexture	-75.271986856297	191.3678104063	{"spec":{"multi":[]},"size":{"multi":[]},"role":{"multi":{"tank":true},"single":"tank"},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":520326}	[]	
$.c.10	Cultist Main Bar		dynamicgroup	-4.1669310120208	32.13468326088	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	["Darkwither","Blade of the Empire 2","Twilight Shieldtoss","Netherstrike","Obliteration Beam","Gaze of C'thun Corruption","Hammer of TL","Entropic Slam","Gaze of C'Thun","Dark Infusion","Dreadfall","Eldritch Devastation","Rift Main","Ancient Curse","Dreadnought","Void Shield","Eldtrich Eye","Hand of Yogg-Saron","Herald of the Depths","Forbidden Ritual","End Times","Abyssal Ward Spell","Voidborne","Vision of Doom","Embrace the Void"]	#0:aura2:Health:player:[]:[]:SPELL:_CAST_START
$.c.100	Twisted Seal		icon	0	0	{"knowntalent":525065,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_spellknown":false,"class":{"multi":{"CULTIST":true},"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.101	Hallucination		icon	0	0	{"knowntalent":560301,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.102	Isolate		icon	0	0	{"knowntalent":805114,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":800368}	[]	
$.c.103	Horrorbolt		icon	0	0	{"knowntalent":560301,"spec":{"multi":[]},"size":{"multi":[]},"role":{"multi":{"caster":true,"healer":true}},"use_role":false,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":false}	[]	
$.c.104	Wrath of the Black Empire		icon	0	0	{"knowntalent":560301,"spec":{"multi":[]},"size":{"multi":[]},"role":{"multi":{"caster":true,"healer":true}},"use_role":false,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":false}	[]	
$.c.105	Satiate		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":804275}	[]	
$.c.106	[Troll] Berserking		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":26297}	[]	
$.c.107	[Undead] Will of the Forsaken		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":7744}	[]	
$.c.108	[Gnome] Escape Artist		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":20589}	[]	
$.c.109	[Dwarf] Stoneform		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":20594}	[]	
$.c.11	Darkwither		icon	0	0	{"knowntalent":560301,"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true,"tank":true,"melee":true}},"use_spellknown":true,"spellknown":502220}	[]	
$.c.110	[Blood Elf] Arcane Torrent		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":28730}	[]	
$.c.111	[Tauren] War Stomp		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":20549}	[]	
$.c.112	Entropic Singularity		icon	0	0	{"knowntalent":800430,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.12	Blade of the Empire 2		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":502116}	[]	
$.c.13	Twilight Shieldtoss		icon	0	0	{"knowntalent":804208,"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"spellknown":524876}	[]	
$.c.14	Netherstrike		icon	0	0	{"knowntalent":806498,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":806222}	[]	
$.c.15	Obliteration Beam		icon	0	0	{"knowntalent":806498,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":806897}	[]	
$.c.16	Gaze of C'thun Corruption		icon	0	0	{"knowntalent":300313,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":502138}	[]	
$.c.17	Hammer of TL		icon	0	0	{"knowntalent":806498,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"spellknown":806830,"spec":{"multi":[]},"spec_position":{"multi":{"melee":true},"single":"melee"},"role":{"multi":{"healer":true,"tank":true,"melee":true}},"use_spellknown":false,"use_knowntalent":false,"use_class":true}	[]	
$.c.18	Entropic Slam		icon	0	0	{"knowntalent":806498,"specialization":{"multi":[true],"single":1},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"spellknown":572846,"spec":{"multi":[]},"spec_position":{"multi":{"melee":true},"single":"melee"},"role":{"multi":{"healer":true,"tank":true,"melee":true},"single":"healer"},"use_spellknown":true,"use_knowntalent":false,"use_class":true}	[]	
$.c.19	Gaze of C'Thun		icon	0	0	{"size":{"multi":[]},"use_role":false,"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"role":{"multi":{"healer":true,"tank":true,"melee":true}},"use_spellknown":true,"spellknown":502138,"class":{"multi":[],"single":"CULTIST"}}	[]	
$.c.2	Total Madness		progresstexture	0.35378413658691	190.97872739467	{"spec":{"multi":[]},"size":{"multi":[]},"role":{"multi":{"melee":true},"single":"melee"},"class":{"multi":[],"single":"CULTIST"},"use_class":true}	[]	
$.c.20	Dark Infusion		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":500721}	[]	
$.c.21	Dreadfall		icon	0	0	{"knowntalent":804208,"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"spellknown":524876}	[]	
$.c.22	Eldritch Devastation		icon	0	0	{"knowntalent":804208,"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_knowntalent":false,"spec":{"multi":[]},"use_class":true,"use_spellknown":true,"spellknown":803398}	[]	
$.c.23	Rift Main		icon	0	0	{"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":806250}	[]	
$.c.24	Ancient Curse		icon	0	0	{"knowntalent":500712,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":806250}	[]	
$.c.25	Dreadnought		icon	0	0	{"use_knowntalent":false,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":567549}	[]	
$.c.26	Void Shield		icon	0	0	{"knowntalent":500715,"specialization":{"multi":{"2":true},"single":2},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"spellknown":502135,"use_exact_knowntalent":false,"spec":{"multi":[]},"spec_position":{"multi":{"melee":true},"single":"melee"},"role":{"multi":{"healer":true,"tank":true},"single":"tank"},"use_spellknown":false,"use_knowntalent":true,"use_class":true}	[]	
$.c.27	Eldtrich Eye		icon	0	0	{"knowntalent":802049,"specialization":[],"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_knowntalent":true,"spec":{"multi":[]},"use_class":true,"use_spellknown":false,"spellknown":502116}	[]	
$.c.28	Hand of Yogg-Saron		icon	0	0	{"knowntalent":704476,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":true,"use_spellknown":false,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":502116}	[]	
$.c.29	Herald of the Depths		icon	0	0	{"use_knowntalent":false,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":520326}	[]	
$.c.3	Black Blood Stacks		progresstexture	167.76599686574	-46.632220191715	{"knowntalent":502241,"spec":{"multi":[]},"size":{"multi":[]},"use_knowntalent":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":502241}	[]	
$.c.30	Forbidden Ritual		icon	0	0	{"knowntalent":800105,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.31	End Times		icon	0	0	{"use_knowntalent":false,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_spellknown":true,"class":{"multi":[],"single":"CULTIST"},"use_class":true,"spellknown":805115}	[]	
$.c.32	Abyssal Ward Spell		icon	0	0	{"knowntalent":804670,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.33	Voidborne		icon	0	0	{"knowntalent":681104,"spec":{"multi":[]},"size":{"multi":[]},"use_never":false,"use_spellknown":false,"class":{"multi":{"CULTIST":true},"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.34	Vision of Doom		icon	0	0	{"knowntalent":520388,"spec":{"multi":[]},"size":{"multi":[]},"class":{"multi":[],"single":"CULTIST"},"use_class":true,"use_knowntalent":true}	[]	
$.c.35	Embrace the Void		icon	0	0	{"knowntalent":582591,"spec":{"multi":[]},"size":{"multi":[]},"use_class":true,"use_spellknown":false,"class":{"multi":[],"single":"CULTIST"},"use_exact_knowntalent":true,"use_knowntalent":true}	[]	
$.c.36	Cultist - Mana 2 Group		dynamicgroup	-0.87483882673541	3.1249137438567	{"class":{"multi":[]},"size":{"multi":[]},"spec":{"multi":[]}}	["Cultist - Mana 2","Cultist - Insanity 2","Cultist - Castbar 2","Cultist - Disable Cast Bar"]	#0:aura2:Health:player:[]:[]:SPELL:_CAST_START
$.c.37	Cultist - Mana 2		aurabar	0	-20	{"specialization":{"multi":{"1":true,"3":true},"single":1},"size":{"multi":[]},"use_namerealm":false,"class":{"multi":{"SONOFARUGAL":true},"single":"CULTIST"},"talent":{"multi":[]},"spec":{"multi":[]},"use_class":true,"use_ignoreNameRealm":false,"namerealm":"123"}	[]	
$.c.38	Cultist - Insanity 2		aurabar	0	-24	{"specialization":[],"size":{"multi":[]},"use_never":false,"use_class":true,"class":{"multi":[],"single":"CULTIST"},"talent":{"multi":[]},"spec":{"multi":[]}}	[]	
