name,spell_id,category,hud_location,order,talent,track_cooldown,party_cooldown,cooldown_category,notes
Sever,,rotation,core,10,no,yes,no,,Runtime name resolution
Unleash Pestilence,,rotation,core,20,no,yes,no,,Runtime name resolution
Chainwhip,,interrupt,core,30,no,yes,yes,interrupt,Runtime name resolution
Snarl,,taunt,core,40,no,yes,yes,taunt,Runtime name resolution
Implosion,34132,rotation,core,50,yes,yes,no,,User supplied
Xorothian Sigil,30696,offensive,core,60,yes,yes,yes,offensive,User supplied
Burning Rage,34112,offensive,core,70,yes,yes,yes,offensive,User supplied
Legion's Presence,30428,offensive,core,80,yes,yes,yes,offensive,User supplied
Juggernaut,520294,defensive,core,85,yes,yes,yes,defensive,Cooldown and full-duration aura tracker
Call: Hellfire Imp,,summon,core,90,no,yes,no,,Hidden with Impcaller
Hellish Rebuke,503310,proc,core,100,no,yes,no,,Ascension DB verified
Demon Heart,31701,defensive,utility,10,yes,yes,yes,defensive,User supplied
Black Shield,30701,defensive,utility,20,yes,yes,yes,defensive,User supplied; absorb tracker
Infernal Shield,,defensive,utility,30,no,yes,yes,defensive,Runtime name resolution
Hellbound Charge,807247,mobility,utility,40,yes,yes,no,,Two-charge utility tracker with recharge timer
Flesh Hook,,control,utility,50,no,yes,no,,Chains/displacement group
Chains of Xoroth,30699,control,utility,60,yes,yes,no,,User supplied
Chains of Malice,803185,control,utility,70,yes,yes,no,,User supplied
Hellfire Bellows,,utility,utility,80,no,yes,no,,Runtime name resolution
Sacrificial Circle,,utility,utility,90,no,yes,no,,Runtime name resolution
Create: Hellgate,,utility,utility,100,no,yes,no,,Runtime name resolution
Call: Hellfire Abyssal,30498,summon,utility,110,yes,yes,yes,offensive,User supplied
Suffuse,,buff,aura,10,no,no,no,,Duration tracker only
Black Shield,30701,buff,aura,20,yes,no,yes,defensive,Duration and absorb
Hellrider,,buff,aura,30,no,no,no,,Duration tracker only
Juggernaut,520294,buff,aura,85,yes,no,yes,defensive,Full active-duration tracker
Bulwark of Xoroth,300388,debuff,target,5,yes,no,no,,Player-applied target aura bar
Curse of Xoroth,,debuff,target,10,no,no,no,,Player-applied debuff
Torn Flesh,,debuff,target,20,no,no,no,,Player-applied debuff
Ritual Fire,,debuff,target,30,no,no,no,,Player-applied debuff
Pestilence of Famine,,debuff,target,40,no,no,no,,Player-applied debuff
Pestilence of War,,debuff,target,50,no,no,no,,Player-applied debuff
Pestilence of Conquest,801053,debuff,target,60,no,no,no,,Ascension DB verified
Melt,803334,debuff,review,,no,no,no,,Ascension DB candidate
Infernal Strike,501515,mobility,review,,no,no,no,,Ascension DB candidate
Demonfeast,501497,rotation,review,,no,no,no,,Ascension DB candidate
