Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Arcane,Ability,Arcane Barrage,400610,400610,,,"Launches several missiles at the enemy target, causing Arcane damage.",Offensive,Main,3,,,,Cooldown,"DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=400610,
Arcane,Ability,Arcane Blast,30451,30451,,64,"Blasts the target with energy, dealing 
668 to 
772 Arcane damage. Each time you cast Arcane Blast, the casting time is reduced while mana cost is increased. Effect stacks up to 3 times and lasts 8 sec.",Offensive,Main,0,8,195 Mana,36032,Cooldown + aura,"DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=30451,
Arcane,Ability,Arcane Blast,400574,400574,,,"Blasts the target with energy, dealing Arcane damage. Each cast increases Arcane damage dealt by 15% and mana cost by 175% for 6 sec, stacking up to 4 times.",Offensive,Main,0,,,,Cooldown,"DPS, PVE_PVP, ROTATIONAL",https://www.wowhead.com/tbc/spell=400574,
Arcane,Ability,Arcane Missiles,5143,5143,Rank 1,8,"Launches Arcane Missiles at the enemy, causing 
26 Arcane damage every 1 sec for 3 sec.",Offensive,Main,0,3,85 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=5143,
Arcane,Ability,Arcane Missiles,5144,5143,Rank 2,16,"Launches Arcane Missiles at the enemy, causing 
38 Arcane damage every 1 sec for 4 sec.",Offensive,Main,0,4,140 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=5144,
Arcane,Ability,Arcane Missiles,5145,5143,Rank 3,24,"Launches Arcane Missiles at the enemy, causing 
58 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,235 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=5145,
Arcane,Ability,Arcane Missiles,8416,5143,Rank 4,32,"Launches Arcane Missiles at the enemy, causing 
86 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,320 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=8416,
Arcane,Ability,Arcane Missiles,8417,5143,Rank 5,40,"Launches Arcane Missiles at the enemy, causing 
118 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,410 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=8417,
Arcane,Ability,Arcane Missiles,10211,5143,Rank 6,48,"Launches Arcane Missiles at the enemy, causing 
155 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,500 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=10211,
Arcane,Ability,Arcane Missiles,10212,5143,Rank 7,56,"Launches Arcane Missiles at the enemy, causing 
196 Arcane damage every 1 sec for 5 sec.",Offensive,Main,0,5,595 Mana,,Cooldown,"DPS, FILLER, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=10212,
