Entity Type,ID,Class/Race,Expected Name,Source,Reason
Excluded teaching spell,563,Druid,Moonfire,https://www.wowhead.com/tbc/spell=563,"Wowhead describes this ID as a spell-teaching record, not a castable player spell rank."
Racial/Shared spell,23273,Shared,,https://www.wowhead.com/tbc/spell=23273,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/23273: HTTP 404
Spell,407988,Druid,Savage Roar,https://www.wowhead.com/tbc/spell=407988,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407988: HTTP 404
Spell,407995,Druid,Mangle,https://www.wowhead.com/tbc/spell=407995,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/407995: HTTP 404
Spell,408024,Druid,Survival Instincts,https://www.wowhead.com/tbc/spell=408024,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408024: HTTP 404
Spell,408120,Druid,Wild Growth,https://www.wowhead.com/tbc/spell=408120,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408120: HTTP 404
Spell,408247,Druid,Nourish,https://www.wowhead.com/tbc/spell=408247,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/408247: HTTP 404
Spell,409824,Druid,Lifebloom,https://www.wowhead.com/tbc/spell=409824,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/409824: HTTP 404
Spell,410176,Druid,Skull Bash,https://www.wowhead.com/tbc/spell=410176,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/410176: HTTP 404
Spell,414644,Druid,Lacerate,https://www.wowhead.com/tbc/spell=414644,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/414644: HTTP 404
Spell,414689,Druid,Sunfire,https://www.wowhead.com/tbc/spell=414689,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/414689: HTTP 404
Spell,417141,Druid,Berserk,https://www.wowhead.com/tbc/spell=417141,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/417141: HTTP 404
Spell,417149,Druid,Efflorescence,https://www.wowhead.com/tbc/spell=417149,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/417149: HTTP 404
Spell,417157,Druid,Starsurge,https://www.wowhead.com/tbc/spell=417157,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/417157: HTTP 404
Spell,439733,Druid,Tree of Life,https://www.wowhead.com/tbc/spell=439733,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/439733: HTTP 404
Spell,439748,Druid,Starfall,https://www.wowhead.com/tbc/spell=439748,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/439748: HTTP 404
Spell,409433,Hunter,Chimera Shot,https://www.wowhead.com/tbc/spell=409433,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/409433: HTTP 404
Spell,409552,Hunter,Explosive Shot,https://www.wowhead.com/tbc/spell=409552,Could not fetch https://nether.wowhead.com/tbc/tooltip/spell/409552: HTTP 404
